"cust_id","state","zip","speeddown","speedup","last","numords","dollars","sincepurch","oldmodel","refurb","eightvalve","type","income","medhvalue","buy1","training"
38618,"Mississippi",39601,22.5,0.7,9,1,40,21,0,0,0,"quickservice",0.33346,0.867,0,0
18254,"North Carolina",28383,30.7,1.8,7,3,52,16,0,0,0,"fastcasual",0.29471,0.549,0,1
56741,"Arkansas",72476,6.4,0.6,18,1,17,19,0,0,0,"fastcasual",0.29981,0.622,0,1
65331,"New York",10031,42.6,3.3,4,1,204,13,0,0,0,"other",0.37655,3.698,0,0
18226,"Colorado",80805,0,0,33,2,68,18,0,0,0,"quickservice",0.44464,1.068,0,1
19802,"Georgia",30008,81.2,7.4,6,4,190,10,0,0,0,"quickservice",0.42707,1.264,0,1
29202,"North Carolina",27013,39.9,2.4,19,1,112,39,0,1,1,"quickservice",0.46834,1.126,0,1
27569,"New Jersey",8251,93,46.5,14,4,138,30,0,1,0,"quickservice",0.44513,2.01,0,0
21187,"Texas",76063,62.1,2.4,15,3,158,37,1,0,0,"fastcasual",0.92052,1.796,0,0
40600,"Missouri",64055,78.6,7.3,8,3,170,34,0,1,0,"quickservice",0.51375,1.126,0,1
68475,"Minnesota",56096,15.5,1.3,21,2,84,31,0,1,0,"other",0.49831,1.701,0,1
45603,"Oregon",97841,0.2,0,33,1,50,8,0,0,0,"quickservice",0.40804,2.023,0,1
35862,"Florida",32837,49.8,10,40,1,172,46,0,1,1,"quickservice",0.55443,1.856,0,1
8722,"North Carolina",28673,98.9,3,8,5,204,38,0,1,0,"quickservice",0.61741,2.672,0,0
32456,"Illinois",60640,87.8,8.8,27,4,116,18,0,1,0,"quickservice",0.46974,2.669,0,0
39406,"Texas",75002,42.6,2.6,16,1,200,11,0,0,0,"fastcasual",0.91632,1.861,0,1
31150,"Alabama",36481,2,0.1,34,2,199,8,0,0,0,"fastcasual",0.17404,0.413,0,0
53058,"New York",12041,50,3,25,2,59,6,0,0,0,"quickservice",0.46944,1.772,0,1
29465,"New York",13074,42.6,2.6,10,3,192,17,0,1,1,"quickservice",0.49198,0.846,0,1
11796,"Virginia",23315,8.3,2.5,29,2,129,21,0,0,0,"quickservice",0.55714,2.26,0,1
63819,"New York",10457,100,10,23,1,24,16,1,0,1,"other",0.24949,3.975,0,1
57441,"Alabama",35111,34.9,2.6,26,1,36,4,0,0,0,"quickservice",0.79311,1.773,0,0
5639,"Georgia",30522,24,1.3,20,1,77,22,1,0,1,"quickservice",0.41208,1.959,0,1
51859,"North Carolina",28752,82.6,2.9,7,1,50,7,0,0,0,"fastcasual",0.33386,1.028,0,1
62173,"Missouri",63110,100,3,7,1,20,12,0,0,0,"quickservice",0.38036,1.586,0,1
38811,"Indiana",46702,28,2.7,34,1,50,10,0,0,0,"fastcasual",0.43059,0.829,0,0
59200,"Florida",34243,64.6,9.8,25,1,26,15,0,0,0,"quickservice",0.5856,2.118,0,0
58692,"Colorado",80016,68.2,6.8,7,2,42,32,1,0,0,"quickservice",1.0128,3.724,1,1
30464,"Georgia",30060,78.3,6.4,29,1,70,30,1,0,0,"quickservice",0.36284,1.234,0,1
67330,"Michigan",48748,33.4,1,6,3,268,30,1,0,0,"quickservice",0.34286,0.864,0,1
37931,"West Virginia",26554,37.5,2.2,8,2,99,24,0,0,1,"quickservice",0.42489,1.014,0,0
68899,"Nebraska",68342,0.4,0.1,37,1,127,16,0,0,0,"quickservice",0.47404,0.888,0,1
28073,"Wyoming",82009,18.4,2.2,22,1,94,10,0,0,0,"other",0.77268,2.422,0,1
19720,"Kentucky",40845,0,0,25,1,40,47,1,0,0,"fastcasual",0.31304,0.346,0,1
38103,"Wisconsin",54173,50,3,25,1,10,33,1,0,0,"quickservice",0.82877,2.133,0,0
57596,"Hawaii",96786,33,2,39,1,70,36,1,0,0,"quickservice",0.53706,4.66,0,0
61652,"Indiana",47715,49.1,2.9,16,3,114,34,1,0,0,"other",0.41922,1.287,0,1
39374,"Maine",4941,2.2,0.1,16,4,174,42,1,0,0,"fastcasual",0.37396,1.435,0,1
7862,"Wisconsin",54470,0,0,21,1,100,14,0,0,0,"fastcasual",0.38352,1.15,0,1
31087,"Texas",75601,4.5,0.3,28,1,34,30,0,1,1,"quickservice",0.42284,1.284,0,1
54430,"West Virginia",25699,1.8,0.1,21,2,70,23,1,0,0,"fastcasual",0.11875,0.09999,0,1
71761,"Kansas",67851,29,2.9,11,2,86,17,0,0,1,"quickservice",0.66472,1.296,0,0
183,"Arkansas",72651,10,0.9,20,1,34,31,1,0,1,"quickservice",0.29183,0.981,0,1
63921,"Colorado",80503,48.2,4.8,27,3,276,32,0,1,0,"fastcasual",0.77631,3.487,0,1
63350,"Oklahoma",73160,49.6,3,12,5,247,43,1,0,1,"quickservice",0.55697,1.194,0,1
21942,"Oregon",97267,90.6,9.1,29,2,96,15,0,0,0,"quickservice",0.59329,2.567,0,0
51519,"New Jersey",7748,79.8,39.3,27,2,140,24,1,0,1,"quickservice",1.09097,4.209,0,1
74561,"Michigan",48617,63.3,1.9,21,2,185,5,0,0,0,"quickservice",0.37963,1.04,0,1
34449,"North Carolina",28372,37.1,2.2,29,1,47,32,1,0,0,"quickservice",0.27911,0.684,0,1
56095,"Connecticut",6438,92.9,46.5,22,1,40,10,0,0,0,"fastcasual",0.92989,3.21,0,0
35054,"Rhode Island",2909,100,10,28,2,52,17,0,0,0,"quickservice",0.32036,1.686,0,0
65577,"Illinois",60632,90.1,9,27,2,49,10,0,0,1,"other",0.38545,1.778,0,0
1353,"Maryland",21920,80.3,7.6,21,1,50,14,0,0,0,"quickservice",0.31833,2.854,1,1
72700,"Vermont",5641,79.1,2.5,46,5,246,29,1,0,0,"quickservice",0.49077,1.636,0,1
52227,"Ohio",44107,87,8.5,26,2,99,27,1,0,0,"fastcasual",0.4319,1.295,0,1
4375,"Nebraska",68102,54.7,5.5,44,3,102,15,0,0,0,"quickservice",0.38131,2.619,0,1
21569,"Ohio",44287,6.9,0.5,13,3,184,30,1,0,0,"other",0.49839,1.213,0,1
23190,"Florida",33493,71.5,7.1,24,1,40,33,1,0,0,"fastcasual",0.2875,0.924,0,1
4388,"Kentucky",40145,1.2,0.2,28,3,116,25,1,0,0,"quickservice",0.37054,0.704,0,1
1765,"Indiana",46224,68.4,6.2,29,1,50,22,1,0,0,"quickservice",0.3066,0.979,0,1
3551,"Louisiana",70301,90.3,3.8,24,2,182,19,0,0,0,"fastcasual",0.50428,1.401,0,1
37082,"Minnesota",56367,6,0.4,25,1,74,31,0,0,1,"quickservice",0.61677,1.717,0,1
74648,"Mississippi",39759,21.2,1.2,16,1,30,21,0,0,0,"fastcasual",0.30625,1.394,0,1
40194,"Utah",84764,0,0,19,3,84,17,0,0,0,"quickservice",0.3875,0.385,0,1
32828,"Connecticut",6385,25.4,1.8,30,2,292,31,1,0,1,"other",0.72047,2.717,0,0
28772,"Illinois",61028,8.9,1.1,23,1,30,38,1,0,0,"quickservice",0.48864,1.322,0,1
3663,"Michigan",48126,75.4,7.5,34,1,52,19,1,0,1,"quickservice",0.28335,0.856,0,1
43072,"Virginia",24202,33.1,1.3,9,1,40,16,0,0,0,"quickservice",0.43996,1.272,0,0
39824,"New York",14468,50,3,31,1,13,21,0,0,0,"quickservice",0.64802,1.371,0,0
34150,"Kentucky",42240,36.1,2.2,9,1,22,9,0,0,1,"quickservice",0.38883,1.084,0,1
47210,"Florida",34289,88.6,8.9,29,1,317,32,1,0,0,"quickservice",0.42778,1.552,1,0
4146,"Wisconsin",54546,3.2,0.1,16,4,232,19,0,1,0,"quickservice",0.37176,0.835,0,1
54396,"Pennsylvania",15116,83.8,41.9,13,3,158,41,0,1,0,"quickservice",0.72083,1.558,0,1
30672,"Virginia",23395,0,0,23,1,10,17,0,0,1,"fastcasual",0.25511,0.615,0,1
13961,"Florida",32066,5.5,0.6,21,1,50,35,0,1,0,"fastcasual",0.41509,1.119,0,0
58887,"Illinois",60647,89.8,9,18,5,228,32,1,0,0,"quickservice",0.51675,3.33,0,1
38301,"Texas",75954,0,0,27,1,30,43,1,0,0,"quickservice",0.40455,0.705,0,0
